nombre,lat,lon,sistema,municipio_asignado
Allende,19.43556,-99.13687,Metro/Metrobús,
Bellas Artes,19.43638,-99.14161,Metro/Metrobús,
Hidalgo,19.43755,-99.14722,Metro/Metrobús,
Revolución,19.43923,-99.15423,Metro/Metrobús,
San Cosme,19.4419,-99.16066,Metro/Metrobús,
Normal,19.44456,-99.16727,Metro/Metrobús,
Colegio Militar,19.44927,-99.17178,Metro/Metrobús,
Popotla,19.45291,-99.17549,Metro/Metrobús,
Cuitláhuac,19.45725,-99.1815,Metro/Metrobús,
Tacuba,19.45938,-99.18823,Metro/Metrobús,
Panteones,19.45864,-99.20295,Metro/Metrobús,
Cuatro Caminos,19.45959,-99.21584,Metro/Metrobús,
Pantitlán,19.41633,-99.07474,Metro/Metrobús,
Zaragoza,19.41192,-99.08229,Metro/Metrobús,
Gómez Farías,19.41648,-99.09021,Metro/Metrobús,
Boulevard Puerto Aéreo,19.41994,-99.09626,Metro/Metrobús,
Balbuena,19.42336,-99.10277,Metro/Metrobús,
Moctezuma,19.42685,-99.1098,Metro/Metrobús,
San Lázaro,19.43006,-99.11426,Metro/Metrobús,
Candelaria,19.42954,-99.12091,Metro/Metrobús,
Merced,19.42549,-99.12503,Metro/Metrobús,
Pino Suárez,19.42592,-99.13264,Metro/Metrobús,
